Datetime,Hashrate
2025-06-02 17,5.058
2025-06-02 18,5.051
2025-06-02 19,4.993
2025-06-02 20,5.009
2025-06-02 21,5.173
2025-06-02 22,5.066
2025-06-02 23,4.950
2025-06-03 00,4.860
2025-06-03 01,4.836
2025-06-03 02,4.809
2025-06-03 03,4.836
2025-06-03 04,4.730
2025-06-03 05,4.795
2025-06-03 06,4.830
2025-06-03 07,4.797
2025-06-03 08,4.764
2025-06-03 09,4.703
2025-06-03 10,4.747
2025-06-03 11,4.767
2025-06-03 12,4.756
2025-06-03 13,4.822
2025-06-03 14,4.921
2025-06-03 15,4.920
2025-06-03 16,4.897
2025-06-03 17,4.949
2025-06-03 18,5.069
2025-06-03 19,5.071
2025-06-03 20,5.155
2025-06-03 21,5.184
2025-06-03 22,5.172
2025-06-03 23,5.161
2025-06-04 00,5.060
2025-06-04 01,4.975
2025-06-04 02,5.018
2025-06-04 03,5.056
2025-06-04 04,5.063
2025-06-04 05,5.084
2025-06-04 06,5.080
2025-06-04 07,5.055
2025-06-04 08,5.091
2025-06-04 09,5.084
2025-06-04 10,5.047
2025-06-04 11,5.059
2025-06-04 12,5.064
2025-06-04 13,4.977
2025-06-04 14,5.086
2025-06-04 15,5.123
2025-06-04 16,5.067
2025-06-04 17,5.054
2025-06-04 18,5.099
2025-06-04 19,5.153
2025-06-04 20,5.151
2025-06-04 21,5.182
2025-06-04 22,5.089
2025-06-04 23,5.018
2025-06-05 00,5.084
2025-06-05 01,5.186
2025-06-05 02,5.059
2025-06-05 03,5.062
2025-06-05 04,5.060
2025-06-05 05,5.111
2025-06-05 06,5.055
2025-06-05 07,5.037
2025-06-05 08,5.082
2025-06-05 09,5.075
2025-06-05 10,5.069
2025-06-05 11,4.931
2025-06-05 12,4.901
2025-06-05 13,4.912
2025-06-05 14,4.906
2025-06-05 15,4.846
2025-06-05 16,4.816
2025-06-05 17,4.707
2025-06-05 18,4.714
2025-06-05 19,4.679
2025-06-05 20,4.664
2025-06-05 21,4.669
2025-06-05 22,4.555
2025-06-05 23,4.376
2025-06-06 00,0
2025-06-06 09,4.050
2025-06-06 10,4.029
2025-06-06 11,3.992
2025-06-06 12,4.036
2025-06-06 13,3.984
2025-06-06 14,4.049
2025-06-06 15,4.076
2025-06-06 16,4.067
2025-06-06 19,4.268
2025-06-06 20,4.161
2025-06-06 21,4.258
2025-06-06 22,4.313
2025-06-06 23,4.496
2025-06-07 00,4.550
2025-06-07 01,4.482
2025-06-07 02,4.513
2025-06-07 03,4.510
2025-06-07 04,4.610
2025-06-07 05,4.608
2025-06-07 06,4.672
2025-06-07 07,4.554
2025-06-07 08,4.556
2025-06-07 09,4.569
2025-06-07 10,4.558
2025-06-07 11,4.611
2025-06-07 12,4.680
2025-06-07 13,4.672
2025-06-07 14,4.782
2025-06-07 15,4.856
2025-06-08 12,4.891
2025-06-08 13,4.989
2025-06-08 14,4.933
2025-06-08 15,5.040
2025-06-08 16,5.085
2025-06-08 17,5.116
2025-06-08 18,5.101
2025-06-08 19,5.254
2025-06-08 20,5.232
2025-06-08 21,5.364
2025-06-08 22,5.466
2025-06-08 23,5.474
2025-06-09 00,5.487
2025-06-09 01,5.410
2025-06-09 02,5.405
2025-06-09 03,5.387
2025-06-09 04,5.304
2025-06-09 05,5.274
2025-06-09 06,5.349
2025-06-09 07,5.311
2025-06-09 08,5.192
2025-06-09 09,4.955
2025-06-09 10,5.011
2025-06-09 11,5.039
2025-06-09 12,5.047
2025-06-09 13,5.021
2025-06-09 14,5.021
2025-06-09 15,4.931
2025-06-09 16,5.015
2025-06-09 17,4.992
2025-06-09 18,5.112
2025-06-09 19,5.128
2025-06-09 20,5.116
2025-06-09 21,5.062
2025-06-09 22,5.027
2025-06-09 23,5.008
2025-06-10 00,4.872
2025-06-10 01,4.914
2025-06-10 02,4.893
2025-06-10 03,4.945
2025-06-10 04,5.079
2025-06-10 05,5.171
2025-06-10 06,5.111
2025-06-10 07,5.092
2025-06-10 08,5.025
2025-06-10 09,5.044
2025-06-10 10,5.027
2025-06-10 11,5.098
2025-06-10 12,4.992
2025-06-10 13,5.012
2025-06-10 14,4.992
2025-06-10 15,4.982
2025-06-10 19:00:00,5.014
2025-06-10 20:00:00,5.123
2025-06-10 21:00:00,5.217
2025-06-10 22:00:00,5.203
2025-06-10 23:00:00,5.365
2025-06-11 00:00:00,5.313
2025-06-11 01:00:00,5.344
2025-06-11 02:00:00,5.223
2025-06-11 03:00:00,5.218
2025-06-11 04:00:00,5.175
2025-06-11 05:00:00,5.201
2025-06-11 06:00:00,5.198
2025-06-11 07:00:00,5.219
2025-06-11 08:00:00,5.250
2025-06-11 09:00:00,5.244
2025-06-11 10:00:00,5.254
