Datetime,Hashrate
2025-06-16 21:00:00,7.392
2025-06-16 22:00:00,6.383
2025-06-16 23:00:00,6.673
2025-06-17 00:00:00,6.558
2025-06-17 01:00:00,6.266
2025-06-17 02:00:00,7.193
2025-06-17 03:00:00,6.839
2025-06-17 04:00:00,7.010
2025-06-17 05:00:00,7.343
2025-06-17 06:00:00,7.719
2025-06-17 07:00:00,6.995
2025-06-17 08:00:00,7.182
2025-06-17 09:00:00,7.202
2025-06-17 10:00:00,7.188
2025-06-17 11:00:00,7.610
2025-06-17 12:00:00,7.660
2025-06-17 13:00:00,7.395
2025-06-17 14:00:00,7.146
2025-06-17 15:00:00,7.032
2025-06-17 16:00:00,7.654
2025-06-17 17:00:00,6.546
2025-06-17 18:00:00,7.230
2025-06-17 19:00:00,6.802
2025-06-17 20:00:00,7.061
2025-06-17 21:00:00,6.938
2025-06-17 22:00:00,6.756
2025-06-17 23:00:00,6.540
2025-06-18 00:00:00,7.146
2025-06-18 01:00:00,7.002
2025-06-18 02:00:00,7.203
2025-06-18 03:00:00,7.570
2025-06-18 04:00:00,7.259
2025-06-18 05:00:00,7.031
2025-06-18 06:00:00,7.547
2025-06-18 07:00:00,7.690
2025-06-18 08:00:00,7.150
2025-06-18 09:00:00,7.894
2025-06-18 10:00:00,7.287
2025-06-18 11:00:00,7.346
2025-06-18 12:00:00,7.224
2025-06-18 13:00:00,7.066
2025-06-18 14:00:00,6.940
2025-06-18 15:00:00,6.751
2025-06-18 16:00:00,7.349
2025-06-18 17:00:00,7.459
2025-06-18 18:00:00,6.959
2025-06-18 19:00:00,7.521
2025-06-18 20:00:00,7.496
2025-06-18 21:00:00,7.075
2025-06-18 22:00:00,6.846
2025-06-18 23:00:00,7.387
2025-06-19 00:00:00,7.036
2025-06-19 01:00:00,7.486
2025-06-19 02:00:00,6.925
2025-06-19 03:00:00,7.237
2025-06-19 04:00:00,6.740
2025-06-19 05:00:00,7.275
2025-06-19 06:00:00,7.344
2025-06-19 07:00:00,7.564
2025-06-19 08:00:00,7.220
2025-06-19 09:00:00,7.127
2025-06-19 10:00:00,7.699
2025-06-19 11:00:00,7.332
2025-06-19 12:00:00,7.895
2025-06-19 13:00:00,7.166
2025-06-19 14:00:00,7.009
2025-06-19 15:00:00,7.202
2025-06-19 16:00:00,7.099
2025-06-19 17:00:00,7.160
2025-06-19 18:00:00,6.787
2025-06-19 19:00:00,7.354
2025-06-19 20:00:00,6.987
2025-06-19 21:00:00,6.430
2025-06-19 22:00:00,7.012
2025-06-19 23:00:00,7.171
2025-06-20 00:00:00,7.062
2025-06-20 01:00:00,7.077
2025-06-20 02:00:00,7.337
2025-06-20 03:00:00,7.550
2025-06-20 04:00:00,7.337
2025-06-20 05:00:00,7.376
2025-06-20 06:00:00,7.766
2025-06-20 07:00:00,7.644
2025-06-20 08:00:00,7.518
2025-06-20 09:00:00,7.886
2025-06-20 10:00:00,7.165
2025-06-20 11:00:00,7.680
2025-06-20 12:00:00,7.523
2025-06-20 13:00:00,7.633
2025-06-20 14:00:00,7.258
2025-06-20 15:00:00,7.555
2025-06-20 16:00:00,7.710
2025-06-20 17:00:00,7.477
2025-06-20 18:00:00,7.642
2025-06-20 19:00:00,7.503
2025-06-20 20:00:00,7.102
2025-06-20 21:00:00,7.418
2025-06-20 22:00:00,7.005
2025-06-20 23:00:00,7.686
2025-06-21 00:00:00,7.280
2025-06-21 01:00:00,3.042
2025-06-21 02:00:00,4.207
2025-06-21 03:00:00,4.300
2025-06-21 04:00:00,4.732
2025-06-21 05:00:00,6.664
2025-06-21 06:00:00,7.170
2025-06-21 07:00:00,7.143
2025-06-21 08:00:00,7.422
2025-06-21 09:00:00,7.296
2025-06-21 10:00:00,7.683
2025-06-21 11:00:00,7.438
2025-06-21 12:00:00,7.381
2025-06-21 13:00:00,6.964
2025-06-21 14:00:00,7.506
2025-06-21 15:00:00,7.892
2025-06-21 16:00:00,7.114
2025-06-21 17:00:00,7.572
2025-06-21 18:00:00,7.446
2025-06-21 19:00:00,7.623
2025-06-21 20:00:00,7.028
2025-06-21 21:00:00,7.076
2025-06-21 22:00:00,7.066
2025-06-21 23:00:00,6.804
2025-06-22 00:00:00,7.007
2025-06-22 01:00:00,6.749
2025-06-22 02:00:00,6.751
2025-06-22 03:00:00,7.172
2025-06-22 04:00:00,7.307
2025-06-22 05:00:00,7.236
2025-06-22 06:00:00,7.775
2025-06-22 07:00:00,7.106
2025-06-22 08:00:00,7.439
2025-06-22 09:00:00,6.900
2025-06-22 10:00:00,7.387
2025-06-22 11:00:00,7.342
2025-06-22 12:00:00,7.070
2025-06-22 13:00:00,7.633
2025-06-22 14:00:00,7.651
2025-06-22 15:00:00,7.545
2025-06-22 16:00:00,7.393
2025-06-22 17:00:00,7.525
2025-06-22 18:00:00,7.275
2025-06-22 19:00:00,7.726
2025-06-22 20:00:00,6.703
2025-06-22 21:00:00,6.947
2025-06-22 22:00:00,7.230
2025-06-22 23:00:00,7.804
2025-06-23 00:00:00,7.398
2025-06-23 01:00:00,7.402
2025-06-23 02:00:00,7.041
2025-06-23 03:00:00,7.139
2025-06-23 04:00:00,7.018
2025-06-23 05:00:00,7.808
2025-06-23 06:00:00,7.410
2025-06-23 07:00:00,7.119
2025-06-23 08:00:00,7.499
2025-06-23 09:00:00,7.502
2025-06-23 10:00:00,7.798
2025-06-23 11:00:00,7.105
2025-06-23 12:00:00,6.781
2025-06-23 13:00:00,7.667
2025-06-23 14:00:00,7.336
2025-06-23 15:00:00,7.577
2025-06-23 16:00:00,7.150
2025-06-23 17:00:00,6.967
2025-06-23 18:00:00,8.062
2025-06-23 19:00:00,7.302
2025-06-23 20:00:00,7.936
2025-06-23 21:00:00,7.312
2025-06-23 22:00:00,6.846
2025-06-23 23:00:00,6.569
2025-06-24 00:00:00,6.862
2025-06-24 01:00:00,6.837
2025-06-24 02:00:00,7.105
2025-06-24 03:00:00,7.387
2025-06-24 04:00:00,7.640
2025-06-24 05:00:00,7.552
2025-06-24 06:00:00,7.570
2025-06-24 07:00:00,7.561
2025-06-24 08:00:00,7.894
2025-06-24 09:00:00,7.142
2025-06-24 10:00:00,7.287
2025-06-24 11:00:00,7.586
2025-06-24 12:00:00,7.370
2025-06-24 13:00:00,7.041
2025-06-24 14:00:00,6.260
2025-06-24 15:00:00,7.440
2025-06-24 16:00:00,6.787
2025-06-24 17:00:00,7.399
2025-06-24 18:00:00,7.170
2025-06-24 19:00:00,6.610
2025-06-24 20:00:00,7.640
2025-06-24 21:00:00,7.451
2025-06-24 22:00:00,6.790
2025-06-24 23:00:00,7.615
2025-06-25 00:00:00,7.450
2025-06-25 01:00:00,7.245
2025-06-25 02:00:00,7.517
2025-06-25 03:00:00,7.598
2025-06-25 04:00:00,7.464
2025-06-25 05:00:00,7.148
2025-06-25 06:00:00,6.779
2025-06-25 07:00:00,7.039
2025-06-25 08:00:00,7.204
2025-06-25 09:00:00,7.361
2025-06-25 10:00:00,7.484
2025-06-25 11:00:00,7.180
2025-06-25 12:00:00,7.445
2025-06-25 13:00:00,8.064
2025-06-25 14:00:00,7.151
2025-06-25 15:00:00,7.157
2025-06-25 16:00:00,7.838
2025-06-25 17:00:00,7.196
2025-06-25 18:00:00,7.626
2025-06-25 19:00:00,7.420
2025-06-25 20:00:00,8.248
2025-06-25 21:00:00,7.620
2025-06-25 22:00:00,7.026
2025-06-25 23:00:00,7.414
2025-06-26 00:00:00,7.196
2025-06-26 01:00:00,7.102
2025-06-26 02:00:00,7.618
2025-06-26 03:00:00,6.762
2025-06-26 04:00:00,7.100
2025-06-26 05:00:00,7.144
2025-06-26 06:00:00,7.530
2025-06-26 07:00:00,7.832
2025-06-26 08:00:00,7.569
2025-06-26 09:00:00,8.001
2025-06-26 10:00:00,7.641
2025-06-26 11:00:00,7.330
2025-06-26 12:00:00,7.160
2025-06-26 13:00:00,7.320
2025-06-26 14:00:00,7.278
2025-06-26 15:00:00,7.265
2025-06-26 16:00:00,7.465
2025-06-26 17:00:00,7.719
2025-06-26 18:00:00,7.961
2025-06-26 19:00:00,7.947
2025-06-26 20:00:00,8.018
2025-06-26 21:00:00,7.268
2025-06-26 22:00:00,7.207
2025-06-26 23:00:00,6.830
2025-06-27 00:00:00,6.598
2025-06-27 01:00:00,7.184
2025-06-27 02:00:00,6.415
2025-06-27 03:00:00,5.836
2025-06-27 04:00:00,5.752
2025-06-27 05:00:00,5.714
2025-06-27 06:00:00,6.128
2025-06-27 07:00:00,5.792
2025-06-27 08:00:00,5.580
2025-06-27 09:00:00,6.030
2025-06-27 10:00:00,5.655
2025-06-27 11:00:00,6.101
2025-06-27 12:00:00,5.550
2025-06-27 13:00:00,5.527
2025-06-27 14:00:00,5.925
2025-06-27 15:00:00,5.429
2025-06-27 16:00:00,6.283
2025-06-27 17:00:00,5.113
2025-06-27 18:00:00,5.478
2025-06-27 19:00:00,5.375
2025-06-27 20:00:00,5.691
2025-06-27 21:00:00,5.329
2025-06-27 22:00:00,5.758
2025-06-27 23:00:00,5.843
2025-06-28 00:00:00,5.776
2025-06-28 01:00:00,5.462
2025-06-28 02:00:00,5.667
2025-06-28 03:00:00,5.891
2025-06-28 04:00:00,5.811
2025-06-28 05:00:00,5.676
2025-06-28 06:00:00,5.508
2025-06-28 07:00:00,5.722
2025-06-28 08:00:00,5.786
2025-06-28 09:00:00,5.607
2025-06-28 10:00:00,5.884
2025-06-28 11:00:00,5.784
2025-06-28 12:00:00,5.632
2025-06-28 13:00:00,5.516
