Datetime,Hashrate
2025-05-24 21,20.169
2025-05-24 22,18.854
2025-05-24 23,18.645
2025-05-25 00,18.811
2025-05-25 01,18.978
2025-05-25 02,19.518
2025-05-25 03,20.124
2025-05-25 04,20.610
2025-05-25 05,19.820
2025-05-25 06,19.828
2025-05-25 07,19.845
2025-05-25 08,19.806
2025-05-25 09,20.043
2025-05-25 10,19.995
2025-05-25 11,20.141
2025-05-25 12,20.545
2025-05-25 13,21.172
2025-05-25 14,21.114
2025-05-25 15,21.189
2025-05-25 16,21.216
2025-05-25 17,21.172
2025-05-25 18,20.520
2025-05-25 19,21.445
2025-05-25 20,21.114
2025-05-25 21,21.014
2025-05-25 22,21.127
2025-05-25 23,21.317
2025-05-26 00,20.668
2025-05-26 01,20.838
2025-05-26 02,20.100
2025-05-26 03,20.372
2025-05-26 04,20.061
2025-05-26 05,19.829
2025-05-26 06,20.171
2025-05-26 07,20.282
2025-05-26 08,19.845
2025-05-26 09,19.742
2025-05-26 10,19.969
2025-05-26 11,19.419
2025-05-26 12,19.267
2025-05-26 13,19.264
2025-05-26 14,18.983
2025-05-26 15,18.918
2025-05-26 16,19.253
2025-05-26 17,19.208
2025-05-26 18,19.317
2025-05-26 19,18.992
2025-05-26 20,18.910
2025-05-26 21,18.539
2025-05-26 22,18.493
2025-05-26 23,18.659
2025-05-27 00,18.348
2025-05-27 01,18.211
2025-05-27 02,18.233
2025-05-27 03,18.018
2025-05-27 04,18.406
2025-05-27 05,19.072
2025-05-27 06,19.246
2025-05-27 07,18.970
2025-05-27 08,19.311
2025-05-27 09,19.787
2025-05-27 10,19.478
2025-05-27 11,19.693
2025-05-27 12,19.551
2025-05-27 13,19.326
2025-05-27 14,18.450
2025-05-27 15,18.296
2025-05-27 16,18.223
2025-05-27 17,17.310
2025-05-27 18,17.449
2025-05-27 19,17.029
2025-05-27 20,16.811
2025-05-27 21,16.502
2025-05-27 22,16.420
2025-05-27 23,16.646
2025-05-28 00,16.985
2025-05-28 01,17.273
2025-05-28 02,17.525
