Date,Total
2025-07-02 00:00:00,0.0008
2025-07-04 00:00:00,0.0006
2025-07-06 00:00:00,0.0003
2025-07-07 00:00:00,0.0006
2025-07-08 00:00:00,0.0033
2025-07-09 00:00:00,0.0003
2025-07-11 00:00:00,0.0015
2025-07-14 00:00:00,0.0008
2025-07-16 00:00:00,0.0003
2025-07-17 00:00:00,0.0006
2025-07-18 00:00:00,0.0008
2025-07-20 00:00:00,0.0008
2025-07-22 00:00:00,0.0006
2025-07-23 00:00:00,0.0008
2025-07-25 00:00:00,0.0006
2025-07-27 00:00:00,0.0017
2025-07-28 00:00:00,0.0012
2025-07-30 00:00:00,0.0008
2025-07-31 00:00:00,0.0010
2025-08-02 00:00:00,0.0006
2025-08-05 00:00:00,0.0018
2025-08-06 00:00:00,0.0011
2025-08-12 00:00:00,0.0007
2025-08-13 00:00:00,0.0006
2025-08-14 00:00:00,0.0006
2025-08-19 00:00:00,0.0003
2025-08-23 00:00:00,0.0006
2025-08-24 00:00:00,0.0017
2025-08-25 00:00:00,0.0003
2025-08-26 00:00:00,0.0003
2025-08-27 00:00:00,0.0008
2025-08-29 00:00:00,0.0003
2025-08-31 00:00:00,0.0003
2025-09-01 00:00:00,0.0003
2025-09-05 00:00:00,0.0003
2025-09-06 00:00:00,0.0009
2025-09-07 00:00:00,0.0008
2025-09-10 00:00:00,0.0003
2025-09-12 00:00:00,0.0011
2025-09-13 00:00:00,0.0003
2025-09-16 00:00:00,0.0005
2025-09-17 00:00:00,0.0003
2025-09-18 00:00:00,0.0007
2025-09-20 00:00:00,0.0005
2025-09-27 00:00:00,0.0011
2025-09-28 00:00:00,0.0006
2025-09-30 00:00:00,0.0006
2025-10-01 00:00:00,0.0006
2025-10-04 00:00:00,0.0006
2025-10-05 00:00:00,0.0011
2025-10-06 00:00:00,0.0003
2025-10-07 00:00:00,0.0005
2025-10-08 00:00:00,0.0008
2025-10-10 00:00:00,0.0006
2025-10-11 00:00:00,0.0003
2025-10-12 00:00:00,0.0003
2025-10-13 00:00:00,0.0006
2025-10-14 00:00:00,0.0012
2025-10-15 00:00:00,0.0009
2025-10-16 00:00:00,0.0025
