Date,Total
2024-11-09 00:00:00,0.0011
2024-11-10 00:00:00,0.0008
2024-11-11 00:00:00,0.0011
2024-11-12 00:00:00,0.0003
2024-11-14 00:00:00,0.0006
2024-11-15 00:00:00,0.0023
2024-11-16 00:00:00,0.0003
2024-11-17 00:00:00,0.0011
2024-11-19 00:00:00,0.0003
2024-11-20 00:00:00,0.0016
2024-11-22 00:00:00,0.0043
2024-11-24 00:00:00,0.0003
2024-11-25 00:00:00,0.0008
2024-11-26 00:00:00,0.0003
2024-11-27 00:00:00,0.0003
2024-11-28 00:00:00,0.0030
2024-11-29 00:00:00,0.0011
2024-11-30 00:00:00,0.0019
2024-12-01 00:00:00,0.0003
2024-12-02 00:00:00,0.0005
2024-12-03 00:00:00,0.0022
2024-12-04 00:00:00,0.0022
2024-12-05 00:00:00,0.0021
2024-12-06 00:00:00,0.0008
2024-12-07 00:00:00,0.0006
2024-12-08 00:00:00,0.0017
2024-12-09 00:00:00,0.0011
2024-12-10 00:00:00,0.0017
2024-12-11 00:00:00,0.0003
2024-12-12 00:00:00,0.0020
2024-12-13 00:00:00,0.0006
2024-12-14 00:00:00,0.0009
2024-12-16 00:00:00,0.0003
2024-12-17 00:00:00,0.0006
2024-12-18 00:00:00,0.0008
2024-12-19 00:00:00,0.0016
2024-12-20 00:00:00,0.0030
2024-12-21 00:00:00,0.0011
2024-12-22 00:00:00,0.0014
2024-12-23 00:00:00,0.0023
2024-12-26 00:00:00,0.0005
2024-12-28 00:00:00,0.0011
2024-12-29 00:00:00,0.0003
2024-12-30 00:00:00,0.0006
2024-12-31 00:00:00,0.0030
2025-01-01 00:00:00,0.0008
2025-01-02 00:00:00,0.0016
2025-01-03 00:00:00,0.0013
2025-01-04 00:00:00,0.0013
2025-01-05 00:00:00,0.0014
2025-01-08 00:00:00,0.0005
2025-01-09 00:00:00,0.0003
2025-01-10 00:00:00,0.0003
2025-01-11 00:00:00,0.0008
2025-01-12 00:00:00,0.0016
2025-01-13 00:00:00,0.0005
2025-01-14 00:00:00,0.0008
2025-01-15 00:00:00,0.0025
2025-01-16 00:00:00,0.0008
2025-01-17 00:00:00,0.0008
2025-01-19 00:00:00,0.0012
2025-01-20 00:00:00,0.0014
2025-01-23 00:00:00,0.0011
2025-01-25 00:00:00,0.0003
2025-01-26 00:00:00,0.0003
2025-01-27 00:00:00,0.0011
2025-01-29 00:00:00,0.0023
2025-01-31 00:00:00,0.0011
2025-02-01 00:00:00,0.0011
2025-02-02 00:00:00,0.0014
2025-02-03 00:00:00,0.0003
2025-02-05 00:00:00,0.0004
2025-02-06 00:00:00,0.0003
2025-02-07 00:00:00,0.0005
2025-02-09 00:00:00,0.0008
2025-02-10 00:00:00,0.0005
2025-02-11 00:00:00,0.0006
2025-02-12 00:00:00,0.0003
2025-02-13 00:00:00,0.0005
2025-02-15 00:00:00,0.0003
2025-02-16 00:00:00,0.0003
2025-02-17 00:00:00,0.0008
2025-02-18 00:00:00,0.0011
2025-02-19 00:00:00,0.0003
2025-02-20 00:00:00,0.0006
2025-02-21 00:00:00,0.0017
2025-02-22 00:00:00,0.0006
2025-02-23 00:00:00,0.0003
2025-02-24 00:00:00,0.0033
2025-02-25 00:00:00,0.0006
2025-02-27 00:00:00,0.0006
2025-02-28 00:00:00,0.0017
2025-03-01 00:00:00,0.0003
2025-03-02 00:00:00,0.0009
2025-03-03 00:00:00,0.0003
2025-03-04 00:00:00,0.0014
2025-03-05 00:00:00,0.0013
2025-03-06 00:00:00,0.0011
2025-03-07 00:00:00,0.0005
2025-03-08 00:00:00,0.0005
2025-03-09 00:00:00,0.0006
2025-03-10 00:00:00,0.0003
2025-03-12 00:00:00,0.0012
2025-03-13 00:00:00,0.0004
2025-03-15 00:00:00,0.0005
2025-03-16 00:00:00,0.0016
2025-03-19 00:00:00,0.0006
2025-03-20 00:00:00,0.0008
2025-03-21 00:00:00,0.0005
2025-03-22 00:00:00,0.0003
2025-03-24 00:00:00,0.0006
2025-03-25 00:00:00,0.0003
2025-03-27 00:00:00,0.0003
2025-03-31 00:00:00,0.0003
2025-04-01 00:00:00,0.0005
2025-04-02 00:00:00,0.0008
2025-04-03 00:00:00,0.0009
2025-04-04 00:00:00,0.0008
2025-04-05 00:00:00,0.0011
2025-04-06 00:00:00,0.0014
2025-04-07 00:00:00,0.0011
2025-04-09 00:00:00,0.0018
2025-04-10 00:00:00,0.0008
2025-04-11 00:00:00,0.0006
2025-04-12 00:00:00,0.0011
2025-04-13 00:00:00,0.0003
2025-04-14 00:00:00,0.0008
2025-04-15 00:00:00,0.0006
2025-04-16 00:00:00,0.0003
2025-04-17 00:00:00,0.0013
2025-04-20 00:00:00,0.0016
2025-04-21 00:00:00,0.0008
2025-04-22 00:00:00,0.0003
2025-04-23 00:00:00,0.0003
2025-04-24 00:00:00,0.0030
