Date,Total
2024-11-09,0.0011
2024-11-10,0.0019
2024-11-11,0.0030
2024-11-12,0.0033
2024-11-13,0.0033
2024-11-14,0.0038
2024-11-15,0.0061
2024-11-16,0.0064
2024-11-17,0.0075
2024-11-18,0.0075
2024-11-19,0.0077
2024-11-20,0.0094
2024-11-21,0.0094
2024-11-22,0.0137
2024-11-23,0.0137
2024-11-24,0.0139
2024-11-25,0.0148
2024-11-26,0.0150
2024-11-27,0.0153
2024-11-28,0.0184
2024-11-29,0.0195
2024-11-30,0.0214
2024-12-01,0.0216
2024-12-02,0.0222
2024-12-03,0.0244
2024-12-04,0.0266
2024-12-05,0.0287
2024-12-06,0.0296
2024-12-07,0.0302
2024-12-08,0.0318
2024-12-09,0.0330
2024-12-10,0.0346
2024-12-11,0.0349
2024-12-12,0.0369
2024-12-13,0.0374
2024-12-14,0.0384
2024-12-15,0.0384
2024-12-16,0.0386
2024-12-17,0.0392
2024-12-18,0.0400
2024-12-19,0.0417
2024-12-20,0.0447
2024-12-21,0.0458
2024-12-22,0.0472
2024-12-23,0.0494
2024-12-24,0.0494
2024-12-25,0.0494
2024-12-26,0.0499
2024-12-27,0.0499
2024-12-28,0.0510
2024-12-29,0.0513
2024-12-30,0.0519
2024-12-31,0.0549
2025-01-01,0.0557
2025-01-02,0.0573
2025-01-03,0.0587
2025-01-04,0.0600
2025-01-05,0.0613
2025-01-06,0.0613
2025-01-07,0.0613
2025-01-08,0.0619
2025-01-09,0.0622
2025-01-10,0.0624
2025-01-11,0.0633
2025-01-12,0.0649
2025-01-13,0.0654
2025-01-14,0.0662
2025-01-15,0.0687
2025-01-16,0.0695
2025-01-17,0.0704
2025-01-18,0.0704
2025-01-19,0.0716
2025-01-20,0.0730
2025-01-21,0.0730
2025-01-22,0.0730
2025-01-23,0.0740
2025-01-24,0.0740
2025-01-25,0.0743
2025-01-26,0.0746
2025-01-27,0.0757
2025-01-28,0.0757
2025-01-29,0.0779
2025-01-30,0.0779
2025-01-31,0.0791
2025-02-01,0.0801
2025-02-02,0.0816
2025-02-03,0.0819
2025-02-04,0.0819
2025-02-05,0.0822
2025-02-06,0.0825
2025-02-07,0.0831
2025-02-08,0.0831
2025-02-09,0.0839
2025-02-10,0.0844
2025-02-11,0.0850
2025-02-12,0.0853
2025-02-13,0.0858
2025-02-14,0.0858
2025-02-15,0.0861
2025-02-16,0.0864
2025-02-17,0.0872
2025-02-18,0.0883
2025-02-19,0.0886
2025-02-20,0.0892
2025-02-21,0.0908
2025-02-22,0.0914
2025-02-23,0.0917
2025-02-24,0.0950
2025-02-25,0.0956
2025-02-26,0.0956
2025-02-27,0.0962
2025-02-28,0.0979
2025-03-01,0.0981
2025-03-02,0.0990
2025-03-03,0.0993
2025-03-04,0.1006
2025-03-05,0.1020
2025-03-06,0.1030
2025-03-07,0.1036
2025-03-08,0.1041
2025-03-09,0.1047
2025-03-10,0.1050
2025-03-11,0.1050
2025-03-12,0.1062
2025-03-13,0.1066
2025-03-14,0.1066
2025-03-15,0.1071
2025-03-16,0.1088
2025-03-17,0.1088
2025-03-18,0.1088
2025-03-19,0.1094
2025-03-20,0.1102
